Település;KSH_kód;Belterület_Terület_(ha);Belterület_Vetület;Belterület_Méretarány;Belterület_Feldolgozás;Belterület_Felmérés_éve;Belterület_Helyesbítés_éve;Külterület_Terület_(ha);Külterület_Vetület;Külterület_Méretarány;Külterület_Feldolgozás;Külterület_Felmérés_éve;Külterület_Helyesbítés_éve;Zártkert_Terület_(ha);Zártkert_Vetület;Zártkert_Méretarány;Zártkert_Feldolgozás;Zártkert_Felmérés_éve;Zártkert_Helyesbítés_éve
Ágasegyháza;1768;157;EOV;1:2000;-;1986;-;5430;EOV;1:4000;-;1988;-;0;;;-;-;-
Akasztó;2194;392;EOV;1:2000;-;1985;-;6096;EOV;1:4000;-;1986;-;0;;;-;-;-
Apostag;2114;244;EOV;1:2000;-;-;-;2787;EOV;1:4000;-;-;1983;134;EOV;;-;-;-
Bácsalmás;1071;626;EOV;1:1000;-;-;-;10144;Szt;1:2880;-;-;1978;62;Szt;;-;-;-
Bácsbokod;1018;358;EOV;1:2000;-;1978;-;6035;EOV;1:4000;-;1999;-;0;;;-;-;-
Bácsborsod;2723;154;HDR;1:2000;-;1977;-;7598;HDR;1:2000;-;1977;-;0;;;-;-;-
Bácsszentgyörgy;869;79;Szt;1:2880;-;1979;-;1395;Szt;1:2880;-;1979;-;0;;;-;-;-
Bácsszõlõs;3015;37;Szt;1:2000;-;-;-;3846;Szt;1:2880;-;-;1980;0;;;-;-;-
Baja;352;1759;EOV;1:1000;-;1984;-;15778;HDR;1:2000;-;1974;-;223;HDR;1:2000;-;1974;-
Ballószög;1340;127;Szt;1:2000;-;-;1970;3314;Szt;1:2880;-;-;1973;59;Szt;1:2880;-;1961;-
Balotaszállás;2593;100;Szt;1:2000;-;1973;-;10394;Szt;1:2880;-;1973;1976;0;;;-;-;-
Bátmonostor;365;195;EOV;1:2000;-;1992;-;3552;EOV;1:4000;-;1992;-;48;EOV;1:2000;-;1992;-
Bátya;1196;193;HKR;1:2000;-;1978;-;3020;EOV;1:4000;-;1978;-;173;DAT;1:2000;-;2005;-
Bócsa;830;166;EOV;1:2000;-;1988;-;9538;EOV;1:4000;-;1988;-;0;;;-;-;-
Borota;1932;146;HDR;1:2000;-;1974;-;7911;Szt;1:2880;-;1958;1973;123;Szt;1:2880;-;1973;-
Bugac;3282;238;Szt;1:2000;-;1974;-;12872;Szt;1:2880;-;1879;1975;0;;;-;-;-
Bugacpusztaháza;3363;49;Szt;1:2000;-;1974;-;4251;Szt;1:2880;-;1879;1975;0;;;-;-;-
Császártöltés;1047;293;HKR;1:2000;-;1975;-;7668;Szt;1:2880;-;1879;1975;162;Szt;1:2880;-;1975;-
Csátalja;2647;217;EOV;1:2000;-;1979;-;3684;EOV;1:4000;-;1979;-;4;EOV;1:4000;-;1979;-
Csávoly;1637;165;DAT;1:2000;-;2005;-;4543;DAT;1:4000;-;2005;-;34;DAT;1:4000;-;2005;-
Csengõd;1234;172;EOV;1:2000;-;1987;-;4717;EOV;1:4000;-;1987;-;0;;;-;-;-
Csikéria;1569;150;Szt;1:2000;-;-;-;2431;Szt;1:2880;-;-;1979;0;;;-;-;-
Csólyospálos;1202;93;HKR;1:2000;-;1973;-;6417;Szt;1:2880;-;1973;;0;;;-;-;-
